Supermarket,Product_ID,Price
PARKNSHOP,P000001513,76
JASONS,P000001513,76
AEON,P000001513,76
WELLCOME,P000001375,51
PARKNSHOP,P000001375,51
JASONS,P000001375,51
WELLCOME,P000001968,52
JASONS,P000001968,52
WELLCOME,P000001957,52
PARKNSHOP,P000001957,47.9
JASONS,P000001957,52
WELLCOME,P000002697,55
PARKNSHOP,P000002697,45.8
JASONS,P000002697,55
WELLCOME,P000003856,58.1
JASONS,P000003856,70
WELLCOME,P000004180,109
JASONS,P000004180,109
PARKNSHOP,P000001975,41.7
WELLCOME,P000002524,61.2
PARKNSHOP,P000002524,95.6
JASONS,P000002524,79.7
AEON,P000002524,78.9
WELLCOME,P000002087,63
PARKNSHOP,P000002087,76.9
JASONS,P000002087,63
WELLCOME,P000001561,56.9
JASONS,P000001561,56.9
PARKNSHOP,P000002412,60
AEON,P000002412,47.1
WELLCOME,P000001612,106
PARKNSHOP,P000001612,106
JASONS,P000001612,106
WELLCOME,P000001562,52.9
PARKNSHOP,P000001562,59
JASONS,P000001562,52.9
PARKNSHOP,P000002015,82.2
PARKNSHOP,P000001512,64.9
WELLCOME,P000001382,106
PARKNSHOP,P000001382,106
JASONS,P000001382,106
WELLCOME,P000001376,24
PARKNSHOP,P000001376,23.8
JASONS,P000001376,22.5
WELLCOME,P000001515,19.7
PARKNSHOP,P000001515,21.6
JASONS,P000001515,26
PARKNSHOP,P000001395,19.5
AEON,P000001395,22.1
WELLCOME,P000000891,25.5
PARKNSHOP,P000000891,29
JASONS,P000000891,25.5
WELLCOME,P000001615,39.3
JASONS,P000001615,47.5
PARKNSHOP,P000000121,6.5
PARKNSHOP,P000002531,7.9
PARKNSHOP,P000000122,7.9
WELLCOME,P000000895,20.9
PARKNSHOP,P000000895,24.5
JASONS,P000000895,20.9
PARKNSHOP,P000001616,39
PARKNSHOP,P000001926,30
JASONS,P000003564,10.5
PARKNSHOP,P000001927,27
WELLCOME,P000000167,10.5
PARKNSHOP,P000000167,9
JASONS,P000000167,9.1
WELLCOME,P000000640,24.8
JASONS,P000000640,24.8
WELLCOME,P000000632,9
JASONS,P000000632,8.1
WELLCOME,P000000888,19.5
JASONS,P000000888,19.5
WELLCOME,P000000905,9
JASONS,P000000905,9
WELLCOME,P000000904,19.5
PARKNSHOP,P000000904,15.8
JASONS,P000000904,16.6
WELLCOME,P000000022,7.3
PARKNSHOP,P000000022,9.5
JASONS,P000000022,9.5
WELLCOME,P000000886,25.5
PARKNSHOP,P000000886,28
JASONS,P000000886,25.5
WELLCOME,P000000899,8.5
PARKNSHOP,P000000899,8
JASONS,P000000899,8.5
WELLCOME,P000000896,19.7
PARKNSHOP,P000000896,22.9
JASONS,P000000896,19.2
WELLCOME,P000000913,8.5
JASONS,P000000913,8.5
WELLCOME,P000000130,9
PARKNSHOP,P000000130,7.9
JASONS,P000000130,9
WELLCOME,P000000900,21
PARKNSHOP,P000000900,21
JASONS,P000000900,18.4
WELLCOME,P000000902,9
JASONS,P000000902,9
WELLCOME,P000000849,16
PARKNSHOP,P000000849,32.9
JASONS,P000000849,16
PARKNSHOP,P000001263,39.9
AEON,P000001263,17.7
WELLCOME,P000002692,11.4
JASONS,P000002692,12.6
WELLCOME,P000002693,15
JASONS,P000002693,12.6
PARKNSHOP,P000002694,48
WELLCOME,P000003054,34
PARKNSHOP,P000003054,35.8
JASONS,P000003054,34.2
PARKNSHOP,P000003559,28.8
WELLCOME,P000003253,14
PARKNSHOP,P000003253,14
JASONS,P000003253,14
WELLCOME,P000003227,12.4
PARKNSHOP,P000003227,14
JASONS,P000003227,15.3
PARKNSHOP,P000003563,28
JASONS,P000003563,33
WELLCOME,P000002432,36
PARKNSHOP,P000002432,39
JASONS,P000002432,36
WELLCOME,P000002433,22
PARKNSHOP,P000002433,28.2
JASONS,P000002433,22
WELLCOME,P000002018,10.6
PARKNSHOP,P000002018,10.9
JASONS,P000002018,13.3
WELLCOME,P000001221,39
PARKNSHOP,P000001221,53
JASONS,P000001221,39
AEON,P000001221,39.9
WELLCOME,P000002592,23.5
PARKNSHOP,P000002592,42.9
JASONS,P000002592,23.5
WELLCOME,P000002593,21.1
PARKNSHOP,P000002593,42.9
JASONS,P000002593,26
PARKNSHOP,P000002590,42.9
WELLCOME,P000001000,33.5
JASONS,P000001000,33.5
WELLCOME,P000001855,13
PARKNSHOP,P000001855,10.4
JASONS,P000001855,13
AEON,P000001855,9.9
PARKNSHOP,P000002499,33.9
PARKNSHOP,P000002498,32.9
PARKNSHOP,P000002497,27.6
WELLCOME,P000003695,23
JASONS,P000003695,24.5
WELLCOME,P000003883,37
JASONS,P000003883,37
WELLCOME,P000003882,22.9
JASONS,P000003882,22.9
WELLCOME,P000004287,23
JASONS,P000004287,23
WELLCOME,P000003879,29
JASONS,P000003879,29
WELLCOME,P000003880,25.5
JASONS,P000003880,23
WELLCOME,P000003881,29
JASONS,P000003881,29
PARKNSHOP,P000003561,32.4
PARKNSHOP,P000001740,48.9
WELLCOME,P000001739,51
PARKNSHOP,P000001739,46.9
JASONS,P000001739,51
WELLCOME,P000000458,39.5
PARKNSHOP,P000000458,69.9
JASONS,P000000458,49
WELLCOME,P000000801,22
PARKNSHOP,P000000801,42.8
JASONS,P000000801,23.8
WELLCOME,P000000946,60
PARKNSHOP,P000000946,49
JASONS,P000000946,60
PARKNSHOP,P000002577,42.8
WELLCOME,P000001765,51.7
PARKNSHOP,P000001765,69.9
JASONS,P000001765,49
WELLCOME,P000001091,22
PARKNSHOP,P000001091,48.5
JASONS,P000001091,22
WELLCOME,P000000457,60
PARKNSHOP,P000000457,52.1
JASONS,P000000457,60
WELLCOME,P000000621,49
PARKNSHOP,P000000621,69.9
JASONS,P000000621,49
WELLCOME,P000000937,17.6
PARKNSHOP,P000000937,42.8
JASONS,P000000937,18.4
WELLCOME,P000000956,51.4
PARKNSHOP,P000000956,49
JASONS,P000000956,60
WELLCOME,P000000448,47
PARKNSHOP,P000000448,32
JASONS,P000000448,47
AEON,P000000448,31.9
WELLCOME,P000000459,47
PARKNSHOP,P000000459,32
JASONS,P000000459,47
AEON,P000000459,31.9
WELLCOME,P000002295,11
PARKNSHOP,P000002295,10
JASONS,P000002295,9.6
WATSONS,P000002295,8.2
DCHFOOD,P000002295,11
WELLCOME,P000002037,11
PARKNSHOP,P000002037,9.1
JASONS,P000002037,9.1
DCHFOOD,P000002037,10
WELLCOME,P000002730,8.5
PARKNSHOP,P000002730,11.4
JASONS,P000002730,8.5
AEON,P000002730,3.9
WELLCOME,P000000245,16.5
PARKNSHOP,P000000245,19.9
JASONS,P000000245,16.5
AEON,P000000245,18.2
WELLCOME,P000002293,16.5
PARKNSHOP,P000002293,16.5
JASONS,P000002293,16.5
AEON,P000002293,16.5
WELLCOME,P000003055,23
PARKNSHOP,P000003055,24.9
JASONS,P000003055,23
AEON,P000003055,17.9
WELLCOME,P000001951,11
PARKNSHOP,P000001951,9
JASONS,P000001951,11
AEON,P000001951,8.9
DCHFOOD,P000001951,10
WELLCOME,P000001280,12.5
PARKNSHOP,P000001280,10.9
JASONS,P000001280,12.5
AEON,P000001280,12.5
WELLCOME,P000002835,37
PARKNSHOP,P000002835,37
JASONS,P000002835,37
AEON,P000002835,36.9
WELLCOME,P000001798,14.1
PARKNSHOP,P000001798,17
JASONS,P000001798,18
AEON,P000001798,17.9
DCHFOOD,P000001798,14
WELLCOME,P000001120,27.6
PARKNSHOP,P000001120,31.9
JASONS,P000001120,32
WELLCOME,P000000952,46
PARKNSHOP,P000000952,45.9
JASONS,P000000952,46
WELLCOME,P000002861,10
PARKNSHOP,P000002861,9
JASONS,P000002861,10
WELLCOME,P000002799,10
PARKNSHOP,P000002799,10
JASONS,P000002799,10
WELLCOME,P000001677,10
PARKNSHOP,P000001677,10
JASONS,P000001677,10
WELLCOME,P000001519,97
PARKNSHOP,P000001519,89.1
JASONS,P000001519,97
WELLCOME,P000001930,12.6
JASONS,P000001930,12
WELLCOME,P000000936,16
JASONS,P000000936,16
WELLCOME,P000002616,63
PARKNSHOP,P000002616,59
JASONS,P000002616,63
WELLCOME,P000002154,50.9
PARKNSHOP,P000002154,50.9
JASONS,P000002154,50.9
WELLCOME,P000001929,18
PARKNSHOP,P000001929,31.9
JASONS,P000001929,15.5
PARKNSHOP,P000001177,9.5
WELLCOME,P000002934,9.5
PARKNSHOP,P000002934,7.2
JASONS,P000002934,9.5
WELLCOME,P000001517,22
PARKNSHOP,P000001517,22
JASONS,P000001517,22
PARKNSHOP,P000003089,47.9
WELLCOME,P000003288,98
PARKNSHOP,P000003288,99.9
JASONS,P000003288,98
WELLCOME,P000003925,9
JASONS,P000003925,6.9
WELLCOME,P000000112,15
PARKNSHOP,P000000112,13.9
JASONS,P000000112,15
WELLCOME,P000003153,19.9
PARKNSHOP,P000003153,19.9
JASONS,P000003153,19.9
WELLCOME,P000001760,14
PARKNSHOP,P000001760,13.9
JASONS,P000001760,15.4
WELLCOME,P000000056,37
PARKNSHOP,P000000056,28.4
JASONS,P000000056,37
WELLCOME,P000003539,33
JASONS,P000003539,33
WELLCOME,P000000729,33.9
PARKNSHOP,P000000729,33.5
JASONS,P000000729,33.9
WELLCOME,P000002621,58.9
PARKNSHOP,P000002621,47.9
JASONS,P000002621,46.8
WELLCOME,P000000213,33.9
PARKNSHOP,P000000213,33.5
JASONS,P000000213,33.9
WELLCOME,P000001088,58.9
PARKNSHOP,P000001088,58.5
JASONS,P000001088,58.9
WELLCOME,P000003536,60
JASONS,P000003536,60
WELLCOME,P000000645,42
PARKNSHOP,P000000645,35.2
JASONS,P000000645,42
WELLCOME,P000000025,42
PARKNSHOP,P000000025,33
JASONS,P000000025,42
WELLCOME,P000001089,55
PARKNSHOP,P000001089,55
JASONS,P000001089,55
WELLCOME,P000003537,58
PARKNSHOP,P000003537,58
JASONS,P000003537,58
WELLCOME,P000004201,45.9
JASONS,P000004201,31.4
WELLCOME,P000003921,33.3
JASONS,P000003921,29.9
WELLCOME,P000004200,40
JASONS,P000004200,40
WELLCOME,P000004207,40
JASONS,P000004207,40
WELLCOME,P000004202,40
JASONS,P000004202,40
WELLCOME,P000004203,31
JASONS,P000004203,40
WELLCOME,P000004204,42.9
JASONS,P000004204,40
WELLCOME,P000003699,29.9
JASONS,P000003699,29.9
WELLCOME,P000004206,40
JASONS,P000004206,40
WELLCOME,P000003542,27.9
PARKNSHOP,P000003542,27.9
JASONS,P000003542,27.9
WELLCOME,P000001084,46
PARKNSHOP,P000001084,46.9
JASONS,P000001084,46
WELLCOME,P000001015,64.9
JASONS,P000001015,64.9
WELLCOME,P000001130,46
JASONS,P000001130,46
WELLCOME,P000001016,35.1
PARKNSHOP,P000001016,46.9
JASONS,P000001016,46
WELLCOME,P000001085,46
PARKNSHOP,P000001085,46.9
JASONS,P000001085,37.4
WELLCOME,P000001095,46
PARKNSHOP,P000001095,46.9
JASONS,P000001095,46
WELLCOME,P000001347,42
PARKNSHOP,P000001347,35.2
JASONS,P000001347,42
PARKNSHOP,P000002523,39
WELLCOME,P000001105,33
JASONS,P000001105,33
WELLCOME,P000000646,56
PARKNSHOP,P000000646,52
JASONS,P000000646,56
PARKNSHOP,P000001931,33
WELLCOME,P000000965,34.8
PARKNSHOP,P000000965,43.9
JASONS,P000000965,37.3
WELLCOME,P000003119,45.9
PARKNSHOP,P000003119,43.9
JASONS,P000003119,45.9
WELLCOME,P000000880,43.1
PARKNSHOP,P000000880,30.1
JASONS,P000000880,40
WELLCOME,P000004854,40
JASONS,P000004854,40
WELLCOME,P000000931,42.5
PARKNSHOP,P000000931,33.2
JASONS,P000000931,37.8
WELLCOME,P000003670,28
JASONS,P000003670,28
WELLCOME,P000003920,28
JASONS,P000003920,28
WELLCOME,P000003120,49.5
PARKNSHOP,P000003120,56.9
JASONS,P000003120,57
WELLCOME,P000001566,57
PARKNSHOP,P000001566,56.9
JASONS,P000001566,57
PARKNSHOP,P000004856,55.9
PARKNSHOP,P000000837,40.6
WELLCOME,P000001559,19.5
JASONS,P000001559,19.5
WELLCOME,P000004857,34
PARKNSHOP,P000004857,34.9
WELLCOME,P000003121,65
JASONS,P000003121,65
WELLCOME,P000001565,60
PARKNSHOP,P000001565,57.9
JASONS,P000001565,60
WELLCOME,P000000227,48.9
PARKNSHOP,P000000227,48.4
JASONS,P000000227,48.9
WELLCOME,P000001679,49
PARKNSHOP,P000001679,50
JASONS,P000001679,49
WELLCOME,P000003366,49
PARKNSHOP,P000003366,50
JASONS,P000003366,49
WELLCOME,P000001160,55.4
PARKNSHOP,P000001160,50
JASONS,P000001160,38.6
WELLCOME,P000001272,95.9
PARKNSHOP,P000001272,100
JASONS,P000001272,95.9
WELLCOME,P000004432,49
JASONS,P000004432,49
WELLCOME,P000003890,43.2
JASONS,P000003890,49
WELLCOME,P000003889,55.7
JASONS,P000003889,49
WELLCOME,P000003888,49
JASONS,P000003888,49
PARKNSHOP,P000002998,74
WELLCOME,P000003363,61.5
PARKNSHOP,P000003363,74
JASONS,P000003363,73
PARKNSHOP,P000003123,39.9
PARKNSHOP,P000000228,39.9
PARKNSHOP,P000003309,49.9
PARKNSHOP,P000003229,49.9
WELLCOME,P000003486,29.9
PARKNSHOP,P000003486,40
JASONS,P000003486,29.9
WELLCOME,P000001222,39.9
PARKNSHOP,P000001222,49.9
JASONS,P000001222,43.7
WELLCOME,P000003225,31.2
PARKNSHOP,P000003225,49.9
JASONS,P000003225,39.9
PARKNSHOP,P000000214,14
WELLCOME,P000000922,5.5
JASONS,P000000922,5.5
WELLCOME,P000000686,15.5
PARKNSHOP,P000000686,13.5
JASONS,P000000686,15.5
WELLCOME,P000000923,5.5
PARKNSHOP,P000000923,5.7
JASONS,P000000923,4.4
WELLCOME,P000000108,15.5
PARKNSHOP,P000000108,13.5
JASONS,P000000108,15.5
WELLCOME,P000001194,7.5
PARKNSHOP,P000001194,7
JASONS,P000001194,7.5
PARKNSHOP,P000001193,15.9
WELLCOME,P000003180,7
PARKNSHOP,P000003180,7
JASONS,P000003180,7
WELLCOME,P000000912,15.2
PARKNSHOP,P000000912,15.9
JASONS,P000000912,15.6
WELLCOME,P000000935,7
PARKNSHOP,P000000935,7
JASONS,P000000935,7
WELLCOME,P000001335,18.5
PARKNSHOP,P000001335,15.9
JASONS,P000001335,18.5
WELLCOME,P000003321,18
PARKNSHOP,P000003321,18
JASONS,P000003321,18
WELLCOME,P000000687,18
PARKNSHOP,P000000687,19.4
JASONS,P000000687,18
PARKNSHOP,P000001332,22.9
PARKNSHOP,P000000955,8
PARKNSHOP,P000001292,8
AEON,P000001292,5
WELLCOME,P000000129,22.1
PARKNSHOP,P000000129,24.3
JASONS,P000000129,30.1
WATSONS,P000000129,28.6
AEON,P000000129,26.9
WELLCOME,P000000548,27
PARKNSHOP,P000000548,27
JASONS,P000000548,27
WATSONS,P000000548,21.4
WELLCOME,P000000423,10.8
PARKNSHOP,P000000423,26
JASONS,P000000423,13.5
AEON,P000000423,12.9
WELLCOME,P000002542,25
PARKNSHOP,P000002542,25
JASONS,P000002542,25
WATSONS,P000002542,15.9
WELLCOME,P000001260,22
PARKNSHOP,P000001260,21.9
JASONS,P000001260,22
WELLCOME,P000000688,22
PARKNSHOP,P000000688,21.9
JASONS,P000000688,19.5
WELLCOME,P000000127,10
PARKNSHOP,P000000127,24
JASONS,P000000127,12.5
WELLCOME,P000000242,17.5
PARKNSHOP,P000000242,24.4
JASONS,P000000242,22
WATSONS,P000000242,18.5
WELLCOME,P000000425,12.5
PARKNSHOP,P000000425,21.3
JASONS,P000000425,12.5
WELLCOME,P000000426,22
PARKNSHOP,P000000426,18.8
JASONS,P000000426,22
WATSONS,P000000426,18.5
AEON,P000000426,21.9
WELLCOME,P000002372,22
PARKNSHOP,P000002372,21.5
JASONS,P000002372,22
WELLCOME,P000002371,26
PARKNSHOP,P000002371,17.6
JASONS,P000002371,26
WELLCOME,P000001637,10.9
PARKNSHOP,P000001637,9
JASONS,P000001637,10.9
WELLCOME,P000001648,10.5
PARKNSHOP,P000001648,10.5
JASONS,P000001648,10.5
WELLCOME,P000000929,10.9
PARKNSHOP,P000000929,9
JASONS,P000000929,10.9
WELLCOME,P000000930,10
JASONS,P000000930,10.7
WELLCOME,P000003124,13.2
PARKNSHOP,P000003124,11.5
JASONS,P000003124,12.5
WELLCOME,P000001196,11
PARKNSHOP,P000001196,8.6
JASONS,P000001196,11
WELLCOME,P000001195,11
PARKNSHOP,P000001195,10.1
JASONS,P000001195,11
WELLCOME,P000003518,6
PARKNSHOP,P000003518,5.7
JASONS,P000003518,6
WELLCOME,P000000107,6
PARKNSHOP,P000000107,4.5
JASONS,P000000107,6
WELLCOME,P000001206,6
PARKNSHOP,P000001206,5.7
JASONS,P000001206,5.1
WELLCOME,P000001718,7
PARKNSHOP,P000001718,7.2
JASONS,P000001718,7
WELLCOME,P000000951,8.8
PARKNSHOP,P000000951,8.5
JASONS,P000000951,10.2
PARKNSHOP,P000001197,7.2
WELLCOME,P000004916,28
PARKNSHOP,P000004916,29.9
JASONS,P000004916,28
PARKNSHOP,P000004917,34.9
WELLCOME,P000002519,36
JASONS,P000002519,29.3
WELLCOME,P000001442,27
PARKNSHOP,P000001442,23.4
JASONS,P000001442,23.8
WELLCOME,P000001400,32.6
PARKNSHOP,P000001400,29.9
JASONS,P000001400,31
PARKNSHOP,P000004830,29.9
PARKNSHOP,P000004829,32.9
PARKNSHOP,P000004828,29.9
PARKNSHOP,P000004046,24.1
PARKNSHOP,P000003487,49.9
WELLCOME,P000004057,32
JASONS,P000004057,25.5
WELLCOME,P000003801,28
JASONS,P000003801,28
WELLCOME,P000003802,15
JASONS,P000003802,15
WELLCOME,P000000156,22.7
PARKNSHOP,P000000156,19.9
JASONS,P000000156,19.9
PARKNSHOP,P000000653,50.8
AEON,P000000653,48
PARKNSHOP,P000000991,112.5
PARKNSHOP,P000001003,128.9
WELLCOME,P000001451,12.4
PARKNSHOP,P000001451,10
JASONS,P000001451,9.8
WELLCOME,P000000004,20.9
PARKNSHOP,P000000004,21.2
JASONS,P000000004,20.9
MANNINGS,P000000004,26.3
AEON,P000000004,23.9
WELLCOME,P000002605,7.6
PARKNSHOP,P000002605,10.5
JASONS,P000002605,11.3
WELLCOME,P000002610,27.9
PARKNSHOP,P000002610,27.9
JASONS,P000002610,27.9
MANNINGS,P000002610,21.6
AEON,P000002610,23.6
WELLCOME,P000002606,9.9
PARKNSHOP,P000002606,10.5
JASONS,P000002606,9.9
WELLCOME,P000002611,27.9
PARKNSHOP,P000002611,30.5
JASONS,P000002611,27.9
MANNINGS,P000002611,27.9
AEON,P000002611,27.9
WELLCOME,P000000455,10
PARKNSHOP,P000000455,9.8
JASONS,P000000455,8.6
AEON,P000000455,7.2
WELLCOME,P000002080,36
PARKNSHOP,P000002080,37
JASONS,P000002080,36
AEON,P000002080,32.9
WELLCOME,P000000976,15
PARKNSHOP,P000000976,25.9
JASONS,P000000976,15
WELLCOME,P000003282,25.9
PARKNSHOP,P000003282,21.7
JASONS,P000003282,25.9
PARKNSHOP,P000002081,56.9
WELLCOME,P000003287,25.9
PARKNSHOP,P000003287,19.8
JASONS,P000003287,21.9
WELLCOME,P000002554,59
JASONS,P000002554,59
PARKNSHOP,P000002267,21.9
PARKNSHOP,P000002604,29.7
WELLCOME,P000000846,11
PARKNSHOP,P000000846,11
JASONS,P000000846,11
WELLCOME,P000000179,20.5
PARKNSHOP,P000000179,21.3
JASONS,P000000179,17.8
MANNINGS,P000000179,20
WELLCOME,P000004231,30
JASONS,P000004231,30
WELLCOME,P000004266,15
JASONS,P000004266,15
WELLCOME,P000004259,15
JASONS,P000004259,15
WELLCOME,P000004221,30
JASONS,P000004221,30
WELLCOME,P000001487,20
PARKNSHOP,P000001487,39
JASONS,P000001487,20
MANNINGS,P000001487,33.5
WELLCOME,P000002833,20
PARKNSHOP,P000002833,39
JASONS,P000002833,21.7
WELLCOME,P000002220,30
PARKNSHOP,P000002220,27.9
JASONS,P000002220,30
WELLCOME,P000002612,26.6
PARKNSHOP,P000002612,28.9
JASONS,P000002612,34.5
WELLCOME,P000000948,10.9
PARKNSHOP,P000000948,11.5
JASONS,P000000948,10.9
WELLCOME,P000002553,19.9
JASONS,P000002553,19.9
WELLCOME,P000000994,12
PARKNSHOP,P000000994,11.9
JASONS,P000000994,12
PARKNSHOP,P000000456,35
WELLCOME,P000001447,12
PARKNSHOP,P000001447,11.9
JASONS,P000001447,12
PARKNSHOP,P000001444,47.9
WELLCOME,P000000133,24.5
PARKNSHOP,P000000133,25.5
JASONS,P000000133,24.5
MANNINGS,P000000133,24.5
PARKNSHOP,P000003064,16.4
WELLCOME,P000000136,9.5
JASONS,P000000136,10.4
WELLCOME,P000002938,12
PARKNSHOP,P000002938,9.5
JASONS,P000002938,12
MANNINGS,P000002938,7
PARKNSHOP,P000000187,15.9
WELLCOME,P000001330,9.2
PARKNSHOP,P000001330,6.7
JASONS,P000001330,8.5
PARKNSHOP,P000003230,16.8
WELLCOME,P000003231,14
PARKNSHOP,P000003231,13.9
JASONS,P000003231,14
WELLCOME,P000000655,11
PARKNSHOP,P000000655,9.6
JASONS,P000000655,11.9
WATSONS,P000000655,9.5
MANNINGS,P000000655,9.6
AEON,P000000655,9.9
WELLCOME,P000003311,18
PARKNSHOP,P000003311,23
JASONS,P000003311,18
MANNINGS,P000003311,17
WELLCOME,P000002819,11
PARKNSHOP,P000002819,11.2
JASONS,P000002819,8.8
PARKNSHOP,P000002820,18
WELLCOME,P000000865,11
PARKNSHOP,P000000865,10.8
JASONS,P000000865,11
MANNINGS,P000000865,9.6
WELLCOME,P000000110,11
PARKNSHOP,P000000110,10.8
JASONS,P000000110,11
WELLCOME,P000001825,22.9
JASONS,P000001825,22.9
WELLCOME,P000001602,20.7
PARKNSHOP,P000001602,29.9
JASONS,P000001602,24
WELLCOME,P000003105,37.8
PARKNSHOP,P000003105,37.9
JASONS,P000003105,34.9
WELLCOME,P000004232,40
JASONS,P000004232,40
